,planno,parcelno,coords,lat,lon,area,id
649,1324,3/6/7,"{'type': 'Polygon', 'coordinates': [[[24.741022109327687, 46.67862068616124], [24.74123073682898, 46.678519123457164], [24.741278178350008, 46.678639053710654], [24.741277631770934, 46.6786393251686], [24.741069983192343, 46.67874271797927], [24.741022109327687, 46.67862068616124]]]}",24.74115012479961,46.67863026543969,255.9461112682096,650
650,1324,818/2,"{'type': 'Polygon', 'coordinates': [[[24.74541679216745, 46.67661352490621], [24.745489556563584, 46.67678711007612], [24.74537878752972, 46.67684278633271], [24.745306024093424, 46.676669201304605], [24.74541679216745, 46.67661352490621]]]}",24.745401590504322,46.676705229505174,197.9260333798334,651
651,1324,147,"{'type': 'Polygon', 'coordinates': [[[24.721499646406123, 46.67136358392509], [24.721767799113266, 46.67122967063688], [24.721853609123563, 46.671429347483404], [24.721583573504592, 46.671564333472894], [24.721499646406123, 46.67136358392509]]]}",24.72164085491073,46.67139010388868,555.1451180583892,652
652,1324,727,"{'type': 'Polygon', 'coordinates': [[[24.73541399421092, 46.66725938646926], [24.735299579881275, 46.666993110640334], [24.73550497495386, 46.666888884091094], [24.735620265572628, 46.667157242110285], [24.73541399421092, 46.66725938646926]]]}",24.735450561765923,46.667111601956044,568.6856395929995,653
653,1324,627,"{'type': 'Polygon', 'coordinates': [[[24.745908663454397, 46.67259668992076], [24.74583339668259, 46.67241987347675], [24.746033147587767, 46.67232188558245], [24.746108377926536, 46.67249631310683], [24.745908663454397, 46.67259668992076]]]}",24.74595844982114,46.67248629040151,361.7248897789643,654
654,1324,626,"{'type': 'Polygon', 'coordinates': [[[24.758624366376218, 46.68491906191685], [24.75853792964008, 46.68471630587735], [24.75870620222043, 46.68462982358034], [24.75879216015941, 46.684831248416906], [24.758624366376218, 46.68491906191685]]]}",24.75865700495447,46.68480310034165,352.53810894714763,655
655,1324,878,"{'type': 'Polygon', 'coordinates': [[[24.744362154620394, 46.67562811871699], [24.74422961293277, 46.6753156436108], [24.744438758931565, 46.67521016678345], [24.74457127919588, 46.67552279923833], [24.744362154620394, 46.67562811871699]]]}",24.7443927920602,46.675460969413315,674.5458760386878,656
656,1324,1067,"{'type': 'Polygon', 'coordinates': [[[24.773071670873694, 46.68679757994255], [24.772988292981843, 46.68660013547174], [24.773168562702203, 46.68650881320217], [24.77317614334623, 46.68652676326135], [24.77321404295466, 46.68661651057326], [24.77325194160345, 46.68670625792479], [24.773071670873694, 46.68679757994255]]]}",24.77313461790511,46.68665052004549,367.29978427739576,657
657,1324,300,"{'type': 'Polygon', 'coordinates': [[[24.73464705816605, 46.666563326847644], [24.734616433379273, 46.66649166341927], [24.734574161743648, 46.6663927483032], [24.734806038815794, 46.66627303979886], [24.734878571839992, 46.66644391231933], [24.73464705816605, 46.666563326847644]]]}",24.73469488701847,46.66645466958932,410.3177152362756,658
658,1324,664,"{'type': 'Polygon', 'coordinates': [[[24.757189174967206, 46.68677739030409], [24.757063951649375, 46.68647754552492], [24.75725009377689, 46.686383553880454], [24.75737499244508, 46.68668209639195], [24.757189174967206, 46.68677739030409]]]}",24.757213477561148,46.68661959528111,573.6343190413235,659
659,1324,849/2,"{'type': 'Polygon', 'coordinates': [[[24.768862560457897, 46.686224811655954], [24.768760706755977, 46.6859832578984], [24.76887858687705, 46.68592457775733], [24.76897928079298, 46.68616337589719], [24.768862560457897, 46.686224811655954]]]}",24.76886873906836,46.68610416697298,291.1973134442068,660
660,1324,251/2,"{'type': 'Polygon', 'coordinates': [[[24.739616725867055, 46.67181007513044], [24.739566500581198, 46.67169086593534], [24.739809157865757, 46.67156489414611], [24.739851149171116, 46.67166465070697], [24.739616725867055, 46.67181007513044]]]}",24.739692051870442,46.67170811220986,275.27106439611237,661
661,1324,3/6/9,"{'type': 'Polygon', 'coordinates': [[[24.740987914547176, 46.67853352078435], [24.740952168579422, 46.67844240278295], [24.740950299683064, 46.67843763911227], [24.74115957436335, 46.67833922774414], [24.74119685022583, 46.67843345890535], [24.740987914547176, 46.67853352078435]]]}",24.74103912032434,46.678453295018905,200.58720436121044,662
662,1324,1019,"{'type': 'Polygon', 'coordinates': [[[24.77114068731872, 46.68762343161105], [24.771044329180363, 46.687393102143055], [24.77126142369657, 46.68728508441738], [24.771357891679532, 46.68751393238295], [24.77114068731872, 46.68762343161105]]]}",24.771189003838767,46.6874877964331,512.9363410928316,663
663,1324,469,"{'type': 'Polygon', 'coordinates': [[[24.757812886563766, 46.676776126589424], [24.757740270294136, 46.67660285112185], [24.75790646025957, 46.676519428021756], [24.757980669105823, 46.67669433479696], [24.757812886563766, 46.676776126589424]]]}",24.75785063455741,46.67667377342389,298.7323857755529,664
664,1324,935/2,"{'type': 'Polygon', 'coordinates': [[[24.768796763427087, 46.68502303467244], [24.768750698043565, 46.68491450023443], [24.768923328708585, 46.684827324236245], [24.768969395017404, 46.68493586177865], [24.768796763427087, 46.68502303467244]]]}",24.76884738972475,46.68494475111884,193.41983678242224,665
665,1324,343/2,"{'type': 'Polygon', 'coordinates': [[[24.76361355280152, 46.68490474846893], [24.763812512885753, 46.6848042870789], [24.763861027941854, 46.68491708723424], [24.763662674053773, 46.685018954850406], [24.76361355280152, 46.68490474846893]]]}",24.76371266409688,46.68490996522029,233.66750867194693,666
